instrument,bucket_start,open,high,low,close,live_fast15,live_h1,live_h1_prev,live_mid15,strat_prev_htf,strat_store_htf,strat_prev_close,bars_processed,prev_close,state,pos_side,pending_side,pending_trig,stop,stop_flt
GOLDM,2026-08-27 20:30,157484.0,157633.0,157364.0,157388.0,157501.46208766557,158181.64487257303,158327.9309904587,157501.46208766557,158181.64487257303,158181.64487257303,157388.0,221,157450.0,flat,,,,,[]
SILVERM,2026-08-27 20:30,248688.0,248700.0,248257.0,248470.0,248037.39727080447,249409.819881937,249411.2611200852,248037.39727080447,249409.819881937,249409.819881937,248470.0,221,248699.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 20:45,157400.0,157515.0,157325.0,157462.0,157501.46208766557,158181.64487257303,158181.64487257303,157501.46208766557,158181.64487257303,158181.64487257303,157462.0,222,157388.0,flat,,,,,[]
SILVERM,2026-08-27 20:45,248484.0,248858.0,248225.0,248502.0,248037.39727080447,249409.819881937,249409.819881937,248037.39727080447,249409.819881937,249409.819881937,248502.0,222,248470.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 21:00,157473.0,158451.0,157466.0,158275.0,157642.78667324147,158181.64487257303,158181.64487257303,157642.78667324147,158181.64487257303,158181.64487257303,158275.0,223,157462.0,pending_long,,LONG,158451.0,,"[""PENDING_ENTRY_CREATED:LONG::""]"
SILVERM,2026-08-27 21:00,248530.0,249750.0,248530.0,249269.0,248281.13141466383,249409.819881937,249409.819881937,248281.13141466383,249409.819881937,249409.819881937,249269.0,223,248502.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 21:15,158295.0,159070.0,158295.0,158898.0,158254.2775775401,158181.64487257303,158181.64487257303,158254.2775775401,158181.64487257303,158181.64487257303,158898.0,224,158275.0,long_position,LONG,,,157325.0,"[""ENTRY_EXECUTED:LONG:158451.0:""]"
SILVERM,2026-08-27 21:15,249349.0,250498.0,249200.0,250434.0,249253.8153840633,249409.819881937,249409.819881937,249253.8153840633,249409.819881937,249409.819881937,250434.0,224,249269.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 21:30,158924.0,158996.0,158228.0,158228.0,158254.2775775401,158181.64487257303,158181.64487257303,158254.2775775401,158181.64487257303,158181.64487257303,158228.0,225,158898.0,long_position,LONG,,,157325.0,[]
SILVERM,2026-08-27 21:30,250432.0,250838.0,249547.0,249547.0,249253.8153840633,249409.819881937,249409.819881937,249253.8153840633,249409.819881937,249409.819881937,249547.0,225,250434.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 21:45,158232.0,158700.0,157954.0,158560.0,158254.2775775401,158181.64487257303,158181.64487257303,158254.2775775401,158181.64487257303,158181.64487257303,158560.0,226,158228.0,long_position,LONG,,,157325.0,[]
SILVERM,2026-08-27 21:45,249538.0,250000.0,249163.0,250000.0,249253.8153840633,249409.819881937,249409.819881937,249253.8153840633,249409.819881937,249409.819881937,250000.0,226,249547.0,long_position,LONG,,,246300.0,[]
GOLDM,2026-08-27 22:00,158550.0,158640.0,158333.0,158404.0,158254.2775775401,158181.64487257303,158181.64487257303,158254.2775775401,158181.64487257303,158181.64487257303,158404.0,227,158560.0,long_position,LONG,,,157325.0,[]
SILVERM,2026-08-27 22:00,250000.0,250249.0,249551.0,249683.0,249253.8153840633,249409.819881937,249409.819881937,249253.8153840633,249409.819881937,249409.819881937,249683.0,227,250000.0,long_position,LONG,,,246300.0,[]
